Municipality,danish_origin,immigrants_Western,immigrants_Non_Western,descendants_Western,descendants_Non_Western
København,466883,57587,65111,6196,30731
Frederiksberg,84345,7764,7777,950,2889
Dragør,13168,543,497,72,114
Tårnby,37046,1548,2923,265,1236
Albertslund,19638,963,4037,190,2922
Ballerup,40186,1517,4034,311,2373
Brøndby,23437,1521,5745,333,4068
Gentofte,62854,5049,5486,569,1097
Gladsaxe,54278,3708,7435,588,3480
Glostrup,18159,882,2374,144,1332
Herlev,23429,895,2768,203,1705
Hvidovre,42613,2167,5311,355,3083
Høje-Taastrup,35627,2922,7122,522,4660
Ishøj,13624,1362,4287,273,3442
Lyngby-Taarbæk,47558,2914,4090,328,1198
Rødovre,32164,1500,4107,262,2445
Vallensbæk,12056,849,2103,131,1532
Allerød,23326,745,1143,111,404
Egedal,39219,1159,1983,193,829
Fredensborg,33423,2259,3249,318,1618
Frederikssund,41628,1073,1828,130,711
Furesø,34551,1960,2995,297,1356
Gribskov,37783,1499,1418,175,387
Halsnæs,27862,1295,1542,162,534
Helsingør,54246,2336,3734,355,1993
Hillerød,44680,2003,2988,288,1263
Hørsholm,22162,1070,1317,131,332
Rudersdal,49192,2672,3328,372,992
Bornholm,36879,1253,1217,102,242
Greve,42175,2096,3640,353,2025
Køge,53304,1970,3394,256,1801
Lejre,25932,759,903,124,277
Roskilde,78443,2659,4238,351,1897
Solrød,21155,667,951,96,365
Faxe,33514,1390,1195,156,351
Guldborgsund,55703,1684,2513,202,770
Holbæk,64293,1857,3424,223,1563
Kalundborg,44895,948,1876,106,739
Lolland,37839,1086,1755,123,672
Næstved,75484,2002,4013,270,1326
Odsherred,30889,857,1059,98,267
Ringsted,29917,1411,2052,174,1181
Slagelse,69770,1807,4712,251,2599
Sorø,27845,670,999,73,273
Stevns,21037,812,743,86,178
Vordingborg,42369,1359,1534,137,395
Assens,38104,1450,1164,179,223
Faaborg-Midtfyn,48010,1562,1557,162,455
Kerteminde,21826,775,888,91,283
Langeland,11536,500,381,40,90
Middelfart,35988,1021,1355,110,388
Nordfyns,27343,1114,999,129,179
Nyborg,29146,758,1420,92,558
Odense,169704,8932,15690,945,8849
Svendborg,53793,1278,2378,146,918
Ærø,5579,269,148,14,23
Billund,23162,1518,1419,207,393
Esbjerg,103028,4004,5772,589,2282
Fanø,3168,158,117,16,16
Fredericia,45451,1407,2996,173,1390
Haderslev,49735,2419,2425,352,898
Kolding,81275,3513,5509,462,2314
Sønderborg,64134,3862,4253,523,1581
Tønder,33319,2200,1446,289,319
Varde,45203,2297,1830,371,536
Vejen,38209,1997,1805,266,499
Vejle,100234,5001,6638,648,2795
Aabenraa,50510,4297,2666,519,922
Favrskov,44661,1565,1511,197,439
Hedensted,43056,1644,1442,228,356
Horsens,77889,5316,5258,480,2018
Norddjurs,34195,1506,1310,136,316
Odder,20912,655,865,94,257
Randers,88995,2722,4312,348,1632
Samsø,3359,199,84,40,7
Silkeborg,85876,2627,3581,370,1182
Skanderborg,57884,1394,2171,186,651
Syddjurs,39591,1454,1361,160,334
Aarhus,286606,16625,25707,1709,14988
Herning,78957,3442,4484,435,1810
Holstebro,53257,1600,2436,240,1010
Ikast-Brande,36421,1940,2217,238,848
Lemvig,18388,695,627,111,117
Ringkøbing-Skjern,50850,2786,2244,428,575
Skive,42786,1090,1664,138,473
Struer,19112,710,904,123,275
Viborg,88273,3246,4167,448,1111
Brønderslev,33838,825,1305,116,351
Frederikshavn,54885,2255,2073,192,501
Hjørring,59288,1846,2519,201,805
Jammerbugt,36055,917,1153,91,224
Læsø,1700,83,19,7,3
Mariagerfjord,38669,1156,1537,160,429
Morsø,19110,400,670,61,125
Rebild,28287,596,936,76,178
Thisted,39884,1565,1547,192,365
Vesthimmerlands,33645,1484,1381,235,281
Aalborg,191889,7732,10727,776,4386
